    1/resolution    CC
    0.220791579     0.863210284
    0.221006839     0.862849121
    0.221223052     0.862199398
    0.221418491     0.862418787
    0.221578348     0.862040001
    0.221724811     0.861591798
    0.221925938     0.861158592
    0.222101064     0.860858412
    0.222255543     0.859708488
    0.222405938     0.859417875
    0.222566812     0.858810501
    0.222732374     0.857958388
    0.222864614     0.857991201
    0.223064939     0.858060082
    0.223289571     0.857987597
    0.223446407     0.857693101
    0.223620884     0.857353370
    0.223778674     0.856659722
    0.223975789     0.856676218
    0.224151242     0.856816166
    0.224325478     0.857135468
    0.224498901     0.856993858
    0.224716663     0.856641946
    0.224854059     0.856752489
    0.224994774     0.856641032
    0.225168039     0.856112838
    0.225387161     0.855842144
    0.225524296     0.855856181
    0.225672744     0.855881200
    0.225835390     0.855541946
    0.226004944     0.855080138
    0.226169036     0.855004286
    0.226333318     0.854245494
    0.226480097     0.853831829
    0.226629676     0.853608989
    0.226804002     0.853007647
    0.226998533     0.852912299
    0.227171348     0.853531723
    0.227343139     0.853334282
    0.227512321     0.852959097
    0.227675681     0.852388276
    0.227866675     0.851720219
    0.228044873     0.851353451
    0.228230242     0.851156772
    0.228370228     0.851287563
    0.228542732     0.851117152
    0.228668752     0.851152931
    0.228799123     0.850718961
    0.228960868     0.850609679
    0.229177138     0.850504678
    0.229363460     0.850720563
    0.229545569     0.850473403
    0.229716806     0.850801026
    0.229916197     0.850522190
    0.230099700     0.849845324
    0.230233551     0.849787958
    0.230394784     0.849956447
    0.230566081     0.849356058
    0.230719427     0.849068620
    0.230917530     0.847769285
    0.231060040     0.848251586
    0.231229160     0.848493386
    0.231366749     0.848083813
    0.231518938     0.847775757
    0.231693118     0.846898023
    0.231874796     0.847390529
    0.232038794     0.847149907
    0.232214807     0.846950366
    0.232350922     0.846438515
    0.232454149     0.845357248
    0.232598720     0.844852265
    0.232780532     0.844106550
    0.232987769     0.843516458
    0.233163764     0.843576257
    0.233316908     0.843310286
    0.233476755     0.842843882
    0.233663891     0.842319944
    0.233786127     0.841913626
    0.233927526     0.841689046
    0.234104102     0.841900257
